index,speaker,speaker_label,time_local,time_unix_sec,bookmarked,bookmark_note,english,arabic
1,"remote","Remote",8:17:19 PM,1771435039.291505,0,"","Good morning.","صباح الخير."
2,"remote","Remote",8:17:20 PM,1771435040.8581684,0,"","How are you?","كيف حالك؟"
3,"remote","Remote",8:17:23 PM,1771435043.6147547,0,"","It's been great, hasn't it?","لقد كان رائعا، أليس كذلك؟"
4,"remote","Remote",8:17:29 PM,1771435049.3276165,0,"","It's been, I've been blown away by the whole thing. In fact, I'm leaving.","لقد أذهلني كل هذا. في الواقع، أنا ذاهب."
5,"remote","Remote",8:17:56 PM,1771435076.8887982,0,"","There have been 3 themes, haven't there, running through the conference, which are relevant to what I want to talk about. 1 is the extraordinary evidence of human creativity in all of the presentations that we've had and, and in all the people here, just the, the variety of it and the range of it. The second is that it's put it in a place where we have no idea what's going to happen.","كان هناك ثلاثة مواضيع، أليس كذلك، تدور في المؤتمر، وهي ذات صلة بما أريد التحدث عنه. الأول هو الدليل الاستثنائي على الإبداع البشري في جميع العروض التي حضرناها، وفي جميع الأشخاص هنا، فقط التنوع والتنوع الذي يقدمه. الثانية هي أنها وضعتها في مكان لا نعرف فيه ما سيحدث."
6,"remote","Remote",8:18:08 PM,1771435088.6301076,0,"","In terms of the future, no idea how this may play out. I have an interest in education. Actually. What I find is everybody has an interest in education, don't you?","فيما يتعلق بالمستقبل، لا فكرة لدي كيف ستسير الأمور. لدي اهتمام بالتعليم. في الواقع. ما أجده هو أن الجميع لديه اهتمام بالتعليم، أليس كذلك؟"
7,"remote","Remote",8:18:20 PM,1771435100.2631197,0,"","Very interesting. If you did it at a dinner party and you say you work in education, actually you're not often at dinner parties, frankly, for sort of thing.","مثير جدا للاهتمام. إذا فعلت ذلك في حفلة عشاء وقلت إنك تعمل في التعليم، في الواقع لا تحضر حفلات العشاء كثيرا، بصراحة، لهذا النوع من الأمور."
8,"remote","Remote",8:18:25 PM,1771435105.3148556,0,"","If you're working education, you're not asked, you know, and.","إذا كنت تعمل في مجال التعليم، فلا يطلب منك ذلك، كما تعلم، و..."
9,"remote","Remote",8:18:40 PM,1771435120.8474932,0,"","And you'll never ask back curiously. That's strange to me. But if you are and you say to somebody, no, they say, what do you do? And you say you work in education, you can see the blood run from their face. They're like, Oh my God, you know why me?","ولن تسأل أبدا بفضول. هذا غريب بالنسبة لي. لكن إذا كنت كذلك وقلت لشخص ما، لا، يقولون: ماذا تفعل؟ وتقول إنك تعمل في التعليم، يمكنك أن ترى الدم يسيل من وجوههم. يقولون: يا إلهي، هل تعرف لماذا أنا؟"
10,"remote","Remote",8:18:45 PM,1771435125.0016837,0,"","My one night out all week.","ليلة خروجي الوحيدة طوال الأسبوع."
11,"remote","Remote",8:18:49 PM,1771435129.5284266,0,"","But if you ask about their education, they pin you to the wall.","لكن إذا سألت عن تعليمهم، يثبتونك على الحائط."
12,"remote","Remote",8:18:58 PM,1771435138.2527192,0,"","Those things that goes deep with people, am I right? Like religion and money and other things so.","تلك الأمور التي تعمق في الناس، أليس كذلك؟ مثل الدين والمال وأشياء أخرى."
13,"remote","Remote",8:19:07 PM,1771435147.778833,0,"","Have a big interest in education, and I think we all do. We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.","لدينا اهتمام كبير بالتعليم، وأعتقد أننا جميعا كذلك. لدينا مصلحة كبيرة فيه، جزئيا لأن التعليم هو الذي من المفترض أن يأخذنا إلى هذا المستقبل الذي لا نستطيع استيعابه."
14,"remote","Remote",8:19:11 PM,1771435151.1157,0,"","Think of it, children starting school this year.","تخيل الأمر، الأطفال الذين يبدأون المدرسة هذا العام."
15,"remote","Remote",8:19:15 PM,1771435155.4012904,0,"","Will be retiring in 2065.","سأتقاعد في عام 2065."
16,"remote","Remote",8:19:45 PM,1771435185.4643056,0,"","Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world would look like in five years time. And yet we're meant to be educating them for it. So the unpredictability, I think is extraordinary. And the third part of this is that we've all agreed nonetheless on the really extraordinary capacities that children have, their capacities for innovation. I mean, Serena last night was a marvel, wasn't she just seeing what she could do and.","لا أحد لديه أدنى فكرة، رغم كل الخبرة التي كانت معروضة خلال الأيام الأربعة الماضية، كيف سيبدو العالم بعد خمس سنوات. ومع ذلك، من المفترض أن نعلمهم بذلك. لذا أعتقد أن عدم التوقعية أمر استثنائي. والجزء الثالث من هذا هو أننا جميعا اتفقنا على القدرات الاستثنائية التي يمتلكها الأطفال، وقدراتهم على الابتكار. أعني، سيرينا الليلة الماضية كانت معجزة، ألم تكن ترى ما يمكنها فعله و..."
17,"remote","Remote",8:19:52 PM,1771435192.6341286,0,"","Exceptional, but I think she's not, so to speak, exceptional in the whole of childhood.","استثنائية، لكنني أعتقد أنها ليست، إذا جاز التعبير، استثنائية طوال طفولتها."
18,"remote","Remote",8:19:56 PM,1771435196.5027149,0,"","What you have there is a person of extraordinary dedication who found a talent.","ما لديك هناك هو شخص ذو تفان استثنائي وجد موهبة."
19,"remote","Remote",8:20:00 PM,1771435200.494605,0,"","Contention is all kids have tremendous talents and we squander them.","الخلاف هو أن جميع الأطفال لديهم مواهب هائلة ونحن نضيعها."
20,"remote","Remote",8:20:11 PM,1771435211.8565657,0,"","To say so, I want to talk about education and I want to talk about creativity. My contention is that creativity now is as important in education as literacy.","لأقول ذلك، أريد أن أتحدث عن التعليم وأريد أن أتحدث عن الإبداع. رأيي هو أن الإبداع الآن مهم في التعليم بقدر أهمية محو الأمية."
21,"remote","Remote",8:20:15 PM,1771435215.0088358,0,"","And we should treat it with the same status.","ويجب أن نتعامل معها بنفس المكانة."
22,"remote","Remote",8:20:16 PM,1771435216.7672548,0,"","Thank you.","شكرا لك."
23,"remote","Remote",8:20:24 PM,1771435224.3755457,0,"","That was it, by the way. Thank you very much.","هذا كل شيء، بالمناسبة. شكرا جزيلا."
24,"remote","Remote",8:20:29 PM,1771435229.2181125,0,"","So 15 minutes left.","إذا تبقى 15 دقيقة."
25,"remote","Remote",8:20:33 PM,1771435233.3157506,0,"","Well, I was born no the.","حسنا، ولدت لا."
26,"remote","Remote",8:20:51 PM,1771435251.7279143,0,"","I had a great story recently. I love telling it. I have a little girl who was in a drawing lesson. She was 6 and she was at the back drawing and the teacher said this little girl hardly ever paid attention and in this drawing lesson she did and the teacher was fascinated. She went over to and she said what are you drawing?","كان لدي قصة رائعة مؤخرا. أحب سردها. لدي فتاة صغيرة كانت في درس رسم. كانت تبلغ من العمر 6 سنوات وكانت في الرسم الخلفي، وقالت المعلمة إن هذه الفتاة الصغيرة بالكاد كانت تولي اهتماما، وفي هذا الدرس فعلت ذلك، وكان المعلم مفتونا. ذهبت وقالت: ماذا ترسم؟"
27,"remote","Remote",8:20:54 PM,1771435254.996992,0,"","And the girl said I'm drawing a picture of God.","وقالت الفتاة إنني أرسم صورة لله."
28,"remote","Remote",8:21:01 PM,1771435261.6934571,0,"","And the teacher said but nobody knows what God looks like. And the girl said they will in a minute.","وقال المعلم، لكن لا أحد يعرف كيف يبدو الله. وقالت الفتاة إنهم سيفعلون ذلك بعد قليل."
