topic,status,time_seconds,time_human,statement_time,statement_speaker,statement_text
"General Greeting","covered",0,"0s","8:17:19 PM","Remote","Good morning."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:20:15 PM","Remote","Creativity should have equal status to literacy."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:20:11 PM","Remote","Creativity is as important as literacy in education."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:19:45 PM","Remote","Unpredictability of future challenges education."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:19:15 PM","Remote","Children starting school now will retire in 2065."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:19:07 PM","Remote","Everyone has a vested interest in education's future role."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:18:58 PM","Remote","Education is a deeply personal topic similar to religion and money."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:18:49 PM","Remote","People are very interested in discussing their education."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:18:40 PM","Remote","People react negatively when you say you work in education."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:18:25 PM","Remote","People avoid asking about education work."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:18:08 PM","Remote","Interest in education is shared by everyone."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:17:56 PM","Remote","Three themes running through conference relevant to my talk."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:17:56 PM","Remote","Extraordinary evidence of human creativity in presentations and people."
"Conference Themes and Education Interest","covered",176,"2m 56s","8:17:56 PM","Remote","No idea how future may play out."
